"","Folder.number","Race","In.Year","In.Month"
"1","0a4f6fd3ce827518691de54a953903f4","Black / African American",2018,1
"2","8b34f6dbf7402a08c2c9680509fa8e0f","Black / African American",2018,1
"3","73957664f03d8ca1e24a3e1389a3202b","Black / African American",2018,1
"4","4b3ba64a2a0d0add422781c7a614ab56","Black / African American",2018,1
"5","07ff64f511ed168b495a5bc882ae4c7f","White",2018,1
"6","4033b1e77af1c8513f4d6dadd1dfaf85","White",2018,1
"7","59928900dbb218af9d13e5d0cdaa21b5","Black / African American",2018,1
"8","b181aabdecb7c75753faf098d9269007","White",2018,1
"9","509d427626b426c6cffc868d45245f61","White",2018,1
"10","63287833afb19f3375d7e0a94b4f7d77","Black / African American",2018,1
"11","9ed47a047b144a15d7bd550bdde96348","Black / African American",2018,1
"12","37cf34a1d9202c1241271c9f68d10874","Black / African American",2018,1
"13","9192a705f21c67c95fad5e8559a3e274","Black / African American",2018,1
"14","a5d4c929ea501ef82d1d2fc1c794087a","White",2018,1
"15","ab5515f6d7de476bb9cfae8b099dd6be","Black / African American",2018,1
"16","70c89992dd3d370f9b7c25cfb38c0553","Black / African American",2018,1
"17","c3b2c8d546038fda886de66c6847f68a","White",2018,1
"18","9f88c20d17806b245cc90aed97f6f0e4","Black / African American",2018,1
"19","096f79dda8c33f4269e1b3fdf09d9c82","Black / African American",2018,1
"20","a1a3597deab2a3b0b08e72f29d11d0db","White",2018,1
"21","3995b75664292cff52d412f1d1576fa2","Black / African American",2018,1
"22","f2365caea838d87a7b5086e4411e11ae","White",2018,1
"23","5769f00874bdb932db7481f57fb35ec5","Black / African American",2018,1
"24","30a5c606d3ca938d557601f4ead2fea7","Black / African American",2018,1
"25","9d5b8830130794d5b2542ded81cf8ebf","Black / African American",2018,1
"26","2314a3a93373fdf5de7a373c3a26849b","Black / African American",2018,1
"27","f097914ebbec5c9f9b913c01a8c35f97","Black / African American",2018,1
"28","677986da4547c2756bbaa2ccd71d24d5","Black / African American",2018,1
"29","2010f424978aa2e060f66a528f8a85fc","Black / African American",2018,1
"30","4d7561476c97961114fa00d04cf00833","White",2018,1
"31","09f1d8e1452f646514c36c21f2894ade","Black / African American",2018,1
"32","bdd3d81bda7fb1cda0954a635cec1d7b","Black / African American",2018,1
"33","52fad81901c7447dad7fef64cfe9f73c","Black / African American",2018,1
"34","da924198d5bb7cf36eb67757c5cdf019","Black / African American",2018,1
"35","c227268f7eeadeb525491fb5635ee25c","White",2018,1
"36","cc86981f3555f7159a1324864406902c","Black / African American",2018,1
"37","f97c0198362290669f0d799c13de93ae","Black / African American",2018,1
"38","ecf56f11ca84d16ae7ccde0834533e0a","Black / African American",2018,1
"39","269397642e9ab2748483196734a08ad9","Black / African American",2018,1
"40","cdea27c5a7dde0178f2db18bd0264d98","Black / African American",2018,1
"41","79d1a5e52da087df1ac60f6d1e04a9f3","Black / African American",2018,1
"42","096b0ed4b41b958ea2304de755ffe172","Black / African American",2018,1
"43","d7da89c8b954270e81001dd097369df8","White",2018,1
"44","84397c386b14738b76acb8c3ee45c391","Black / African American",2018,1
"45","4d6b34114e2ede90bcfe958d264b7203","Black / African American",2018,1
"46","b4a96b9619688e093bf54f1e9a8f3666","Black / African American",2018,1
"47","7983fd1f5c62af3ad248dc76d0c6757c","White",2018,1
"48","e7bf0aeb76c74bac9139c89b817fd03a","Black / African American",2018,1
"49","a4735e841b7ea30ce3c9742dec891284","White",2018,1
"50","e463a756d75db3d9dd0764342913fff2","Black / African American",2018,1
"51","1df9a3458e6ca0975bb06396f4e5cbc1","White",2018,1
"52","d577f4d769cbc8f4021f6b077982a86f","White",2018,1
"53","99b843e51f0ef18c38647e6270c34a2d","Black / African American",2018,1
"54","d9163bbedd61b0b23e43ca90213a16cb","Black / African American",2018,1
"55","cd2b0bc42749616f55cbec488f5a15d9","Black / African American",2018,1
"56","c0a2e583ac588375539c706ac810b13f","Black / African American",2018,1
"57","4eb13bce708afe9ee7189edc660cc06f","Black / African American",2018,1
"58","1d60f41ccddd8eef3a548ab57d114c52","Unknown race",2018,1
"59","f6d80db7919ee7a1e2bf2e91aa175613","White",2018,1
"60","801a495362fd822771cced6d4081e7e5","Black / African American",2018,1
"61","b242a5f818e59e21092c2a3c9f56f177","Black / African American",2018,1
"62","f197816d4f2570a903ba7220da772abe","Black / African American",2018,1
"63","23e3ff5e3af67043033ee01453ef7bf3","Black / African American",2018,1
"64","6bb80d2ed572daf453690c378796dbac","Black / African American",2018,1
"65","f35615c4ec268a43ae1d0bc06983b5e3","Black / African American",2018,1
"66","76d875408a4e9ca2154d1b72ebd64346","Black / African American",2018,1
"67","d04ba1349d524fa8fa210b56a5fb2839","Black / African American",2018,1
"68","8c16aaf8585e7fc08ad8b987cd14c5b4","Black / African American",2018,1
"69","eea47afaf3ab9d1198e87683d317a660","Black / African American",2018,1
"70","eeff009883942a5724b65140edaf0b1b","Black / African American",2018,1
"71","381c95307dbe3a987a1f7ab1c907ffa5","White",2018,1
"72","fdf4f8f77bc4aa4172301436a25f6157","White",2018,1
"73","c14bc1698eee4cf2113b177bc5025fcd","White",2018,1
"74","a5a505aca7d89e79500e99f7b82cdb0f","Black / African American",2018,1
"75","9970d672b2190029c9406e789f7ab3b9","White",2018,1
"76","b3dd82b2776176b484fe600e6a25ac0b","Black / African American",2018,1
"77","60cc9383e8835ba6c684519b10682391","Black / African American",2018,1
"78","91d1651b1da141be4e81ce08a53a564d","Black / African American",2018,1
"79","7b24efc8fd3d4c99adeb21182e40f321","Black / African American",2018,1
"80","e96b7aa772eea724829732bb8f84f23b","Black / African American",2018,1
"81","16b70d4170ee87ad9dceffdbfe7fc424","White",2018,1
"82","577fdf732e9a6c85337b62622d75a975","Black / African American",2018,1
"83","3be3ff2da0b9db0cc8f0e8d29f5bc1fa","Black / African American",2018,1
"84","89e85e1d98eda2cef2231c7bfd860705","Black / African American",2018,1
"85","78d1d0a7cc492baff017fcacc147b70d","Black / African American",2018,1
"86","ba783f22547f6ba6f525f0570020230b","Black / African American",2018,1
"87","374a0cce069e1e5195b25cf594aa9b25","Black / African American",2018,1
"88","9b8d4d15c329b146acc83c0152f274a2","Black / African American",2018,1
"89","eb68fc0236ed4427c0bb256e21aa58aa","Black / African American",2018,1
"90","46ba288f5165da987e06f702fa1c9024","White",2018,1
"91","f0d0d77a80b90ebf853d472f6354ef2c","Black / African American",2018,1
"92","d3ce3f0735f7cfc8f2f679be4cc26017","Black / African American",2018,1
"93","cb4e9854637dea6892dfc33efabc1d7b","White",2018,1
"94","81b891fd872c98335aae1841cf4c85f1","Black / African American",2018,1
"95","3d00291fd864ce84301b60fffb8ab903","Black / African American",2018,1
"96","0cd0cd67dbe5b20ae68a7a66df8c333e","Black / African American",2018,1
"97","d15a2e84a9540d53505c2f922179860b","Black / African American",2018,1
"98","79cd3356b916ce52a8401a312edf481b","White",2018,1
"99","c7ec178f5b088133b4e381c485e54918","Black / African American",2018,1
"100","0650d1c79ba2a5116920116726415b77","Black / African American",2018,1
"101","ed4ec36bf60b14c797b7565b1c4b7cc7","Black / African American",2018,1
"102","bc287e33d2dda06cd6bc031df547e622","Black / African American",2018,1
"103","68f948dba1ec43676a697f87d2a4acfc","Black / African American",2018,1
"104","c5c1a1a0cddba3859cbbdb4f2067aa95","Black / African American",2018,1
"105","c77d509cb959c13fa790db90ccb26589","Black / African American",2018,1
"106","f8b0ff01fc39c9a9e7881ebfdc4fc575","Black / African American",2018,1
"107","bfb9b9245efefa49fd6437aaa6048d30","Black / African American",2018,1
"108","cb33b23d3b486fa706d3af98027ced5f","Black / African American",2018,1
"109","60167f224db7775c86bdb883d38dbc24","Black / African American",2018,1
"110","b24309e8d87542346007d6b0551760ae","White",2018,1
"111","37b9bb344b2f35625998d4be321327fd","White",2018,1
"112","5bd4ecd4268a2c09cb8c12084ea71127","White",2018,1
"113","6cf8a1077cdd209bd1eb21e4827d79a5","Black / African American",2018,1
"114","b19f026401748bb282a06f7a2425e87f","White",2018,1
"115","58b97a6f9a2a3f6f63883c56ee0106e8","Black / African American",2018,1
"116","82a96f2027d48a7b09482b7d523c8dbd","Black / African American",2018,1
"117","b8fa28a4d19f361ed43c47958179044c","Black / African American",2018,1
"118","0836a122fbde78801578a32c0b1dec53","Black / African American",2018,1
"119","6e17ce6c55458e2ef7d3de1c3cd9a466","Black / African American",2018,1
"120","63fa902abf4dd05b6a56659850ed006e","Black / African American",2018,1
"121","ab1489f5f899cae4b143123028235a08","Black / African American",2018,1
"122","a85cda0320fed6c300efb408d9a8f1ba","Black / African American",2018,1
"123","7a4a950dbbd25737ab1d2f45ddb52fa1","Black / African American",2018,1
"124","5b3cf2af685a6a742998e50c0d11a55a","Black / African American",2018,1
"125","4e042f4a6d936dc59094a9cd04e257a8","Black / African American",2018,1
"126","6a42e686652b3e5eb68e17c2c1b37193","White",2018,1
"127","83d6675ad2d6bb7675d290b6c2229c25","Black / African American",2018,1
"128","383d6a89974a41cdfcb1ebcb589fabf3","Black / African American",2018,1
"129","01ed3ae7d4b1c04fffa6ddf51cfd43d9","Black / African American",2018,1
"130","2381dcd92c6bde41afeed7d0647ce418","Black / African American",2018,1
"131","f721b7a31974bdf9a54232ddd26722cc","White",2018,1
"132","1cc540376d9673e312f7bcae325d3484","Black / African American",2018,1
"133","881ca71de2c6c80afc48fb0df3ecdcbe","White",2018,1
