"id","occurredDate","division","district","shift","beat","serviceType","source","allegationType","allegation","finding","residentRace","residentSex","residentAge","officerRace","officerSex","officerAge","officerYearsOfService","officerIdentifier"
"a25a332352fb0bd97f021e0629e910a0","2015-09-14 00:00:00","Operations Division","Downtown  District","DT Middle Shift","","","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","Black","Female","","Black","Female","45","14","D2551d43b19ebffa7bd2ee6527246459"
"a25a332352fb0bd97f021e0629e910a0","2015-09-14 00:00:00","Operations Division","Downtown  District","DT Middle Shift","","","CPCO (Informal)","Citizen Interaction","Failure to Make a Report When Approached by a Citizen","Not Sustained","Black","Female","","White","Male","42","17","9ccd97e1f4a3ff326f52ea6118ad10cf"
"73c1770e3517d1ee3a8cd79553818994","2015-09-15 00:00:00","Operations Division","Southeast District","SE Day Tactical Shift","","Not Applicable","CPCO (Informal)","Vehicle Operation","Aggressive or Unsafe Driving","Exonerated","White","Male","37","White","Female","54","32","86b3db6862d5c9c52be8c3a18dbdd35b"
"24f09e6c595b7f083bc73c543d30dad0","2015-09-16 00:00:00","Operations Division","East District","ED Middle Shift","","Self-Initiated Activity","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Exonerated","Unknown","Male","","White","Male","26","1","26e7ffb946a061efe6f9ce0376b5fec4"
"618db71f93906d54ba72c707c43c75d9","2015-09-15 00:00:00","Operations Division","Northwest District","NW Late Shift","","Call for Service","CPCO (Informal)","Citizen Interaction","Failure to Make a Report When Approached by a Citizen","Not Sustained","Black","Female","","Black","Male","31","1","Dd58d505aaff5d539d5936329f0fbbae"
"cabeda8c0c37d9521c15565358522014","2015-09-03 00:00:00","Operations Division","Southeast District","SE Day Shift","SE Day Shift","Self-Initiated Activity","CPCO (Informal)","Substandard Performance","Misuse of Discretion","Exonerated","White","Male","31","White","Male","42","16","09080dd8174f1eeeb786f08b31371a07"
"cabeda8c0c37d9521c15565358522014","2015-09-03 00:00:00","Operations Division","Southeast District","SE Day Shift","SE Day Shift","Self-Initiated Activity","CPCO (Informal)","Substandard Performance","Violation of Law Enforcement Code of Ethics","Exonerated","White","Male","31","White","Male","42","16","09080dd8174f1eeeb786f08b31371a07"
"b87379ab755f3dd686817109731a75ac","2015-09-01 00:00:00","Operations Division","Northwest District","NW Middle Shift","","Not Applicable","CPCO (Informal)","Vehicle Operation","Prohibited Use of Take-Home Vehicle","Sustained","White","Male","39","White","Male","36","3","0aa5115e5dc413289dc4327ceefd387d"
"11b1324c632fefe32f911f0fec3376b2","2015-09-04 00:00:00","Operations Division","North District","ND Day Shift","Day Shift 2nd Rc","Not Applicable","CPCO (Informal)","Vehicle Operation","Aggressive or Unsafe Driving","Not Sustained","White","Male","","White","Male","45","13","B3cdafa783296ef73dfba09d53a92cdc"
"93e8b80b3cab13a3749c734cdd192f8c","2015-09-22 00:00:00","Operations Division","East District","ED Middle Shift","","Off-Duty Employment","CPCO (Informal)","Vehicle Operation","Aggressive or Unsafe Driving","Not Sustained","Unknown","Male","","Black","Male","32","3","D209507b13e51976055b3542969ee419"
"54eea9afe0a31f027d4b5a24baef61b0","2015-09-21 00:00:00","Operations Division","Northwest District","NW Day Shift","NW Day Shift","Not Applicable","CPCO (Informal)","Vehicle Operation","Improper Parking","Sustained","White","Female","40","White","Male","52","18","0ef86eb1907605a645c01eb411951acc"
"23dba07a2bfbdfc1e00dc56e3688bcdd","2015-09-29 00:00:00","Operations Division","East District","ED Late Shift","","Not Applicable","CPCO (Informal)","Vehicle Operation","Texting While Driving","Not Sustained","Unknown","Female","33","Black","Male","47","19","Be4a2fdbda5250f368df8a69d8630a02"
"55ddbac873e215060c7cc105b28d902c","2015-09-03 00:00:00","Homeland Security Division","Homeland Security Bureau/Traffic","Crash Investigations Section","Accident Investigations Unit","Call for Service","CPCO (Informal)","Citizen Interaction","Rude, Demeaning, or Affronting Language","Not Sustained","Black","Female","52","Black","Female","33","1","4b788833cb03a35328d6305860adde25"
"55ddbac873e215060c7cc105b28d902c","2015-09-03 00:00:00","Homeland Security Division","Homeland Security Bureau/Traffic","Crash Investigations Section","Accident Investigations Unit","Call for Service","CPCO (Informal)","Substandard Performance","Failure to Properly Investigate Crash","Not Sustained","Black","Female","52","Black","Female","33","1","4b788833cb03a35328d6305860adde25"
"55ddbac873e215060c7cc105b28d902c","2015-09-03 00:00:00","Homeland Security Division","Homeland Security Bureau/Traffic","Crash Investigations Section","Accident Investigations Unit","Call for Service","CPCO (Informal)","Substandard Performance","Submission of an Inaccurate or Incomplete Report","Not Sustained","Black","Female","52","Black","Female","33","1","4b788833cb03a35328d6305860adde25"
