"Officer.number";"Years.employed";"Age";"Officer.sex";"Officer.race";"Officer.department";"Officer.division";"Officer.sub.division.A";"Officer.sub.division.B"
"1";"4b5630ee914e848e8d07221556b0a2fb";"41";"67";"M";"Unknown race";"NULL";"NULL";"NULL";"NULL"
"2";"c01f179e4b57ab8bd9de309e6d576c48";"11";"36";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"3";"11946e7a3ed5e1776e81c0f0ecd383d0";"10";"43";"F";"Black / African American";"MSB - Management Service Bureau";"Superintendant's Budget Staff";"";""
"4";"234a2a5581872457b9fe1187d1616b13";"40";"60";"F";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"5";"dd4ad37ee474732a009111e3456e7ed7";"48";"73";"F";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"6";"25e6a154090e35101d7678d6f034353a";"40";"61";"F";"Black / African American";"Office of the Superintendant";"Office of the Superintendant";"Unknown";""
"7";"7c7124efff5c7039a1b1e7cba65c5379";"50";"68";"F";"White";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"8";"9d08099943f8627959cfb8ecee0d2f5d";"45";"67";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"9";"8eaca7c9b35d05ab15c9125bc92372fa";"43";"65";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"10";"71db8a6cad03244e6e50f0ad8bc95a65";"32";"62";"F";"Black / African American";"MSB - Management Service Bureau";"Budget Services";"Personnel Division";""
"11";"8f3571abef23f6aca0f7b8666a74e7e0";"40";"60";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"12";"fa5a4df7ac0f9782037da890557fd8b8";"28";"63";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"13";"8ae1ac7bdf62dca7c19b427a9153445c";"15";"60";"M";"Black / African American";"Compliance Bureau";"NULL";"NULL";"NULL"
"14";"06cd248dd1409b804444bd9ad5533d1d";"40";"60";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"15";"e03a89536262b6a0e2beabd90a841c43";"24";"50";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"16";"7eeda5fe3e5d82c2168536f9459170dd";"21";"48";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"17";"20e70f4a08bdc6a54e53ad0a7d1498b6";"21";"66";"M";"White";"PIB - Public Integrity Bureau";"NULL";"NULL";"NULL"
"18";"2a099397e2d2dd0f2a2e5a5b4234867d";"25";"64";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"19";"e6e598642c5fbbfb7d922dbfcec86ed8";"15";"39";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"20";"be3c152f6f6bcd5f85f9e4cba49b1e48";"27";"52";"F";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"21";"40755f30599581bfb1186f077db8f580";"16";"40";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"22";"b225fb1495dbb5e5dfb3e327dceb7ab2";"29";"56";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"23";"1b0ed73227e2e7826da63b2b356975e0";"18";"51";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"24";"f92eebebcfea9ebd99a68de2cb409133";"40";"63";"F";"Black / African American";"Office of the Superintendant";"Office of the Superintendant";"Unknown";""
"25";"5462ea21bef8d27d5a0ea4da35939549";"45";"67";"F";"Black / African American";"Office of the Superintendant";"NULL";"NULL";"NULL"
"26";"285d156b1b700fbb489df058fdb9e2ee";"52";"73";"M";"White";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"27";"950670a85504326e573b87462146ed75";"30";"50";"F";"Black / African American";"PIB - Public Integrity Bureau";"Staff";"Staff";""
"28";"a266aa4a0aa711355be22e0f3b8d91af";"45";"66";"M";"White";"MSB - Management Service Bureau";"Education/Training & Recruitment Division";"Training Section";"Staff"
"29";"5e9df39bb0ad592a23f9d09fd6673704";"44";"65";"M";"White";"Compliance Bureau";"Consent Decree";"";""
"30";"7d2842cab7725fd8f382293e410d42b2";"36";"58";"M";"White";"ISB - Investigations and Support Bureau";"ISB Staff";"ISB Staff";""
"31";"263b9db4d09244c0e0ff3f826caa8d2e";"34";"57";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"32";"5f80a2fefde46c5f55850375f0330dae";"42";"68";"M";"Black / African American";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"33";"569ddf8dcb5af0cbc7177be6a8b9700d";"40";"59";"M";"Black / African American";"FOB - Field Operations Bureau";"NULL";"NULL";"NULL"
"34";"cac17b80df37171f02a533a0962e81ec";"50";"71";"M";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
"35";"20c9a920779e3feca5b4ed6948450f8a";"29";"55";"F";"Black / African American";"MSB - Management Service Bureau";"Superintendant's Budget Staff";"";""
"36";"b3f52af93509f5f31091c155fe25b6d0";"37";"63";"M";"White";"ISB - Investigations and Support Bureau";"NULL";"NULL";"NULL"
"37";"e70db76089c6ef212f24de83220ba18c";"30";"54";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"2nd Platoon";""
"38";"3a9a9ac6ee90199fb655068018c70f57";"34";"56";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"1st Platoon";""
"39";"1798d3e803e2a601147ca242448272f2";"41";"62";"F";"Black / African American";"MSB - Management Service Bureau";"Administrative Duties Services";"Staff";""
"40";"16071ab8270571c6c83d682892e00ea5";"37";"56";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"2nd Platoon";""
"41";"ade76ff25149e0df3a56010f12ea82fd";"28";"53";"F";"Black / African American";"FOB - Field Operations Bureau";"Communications Division";"3rd Platoon";"NULL"
"42";"86445152ab5a5c8bffb7b2e02dc13beb";"41";"65";"F";"Black / African American";"MSB - Management Service Bureau";"NULL";"NULL";"NULL"
