"FIT.Number";"year.of.record";"Service.type";"Reason.for.force";"UOF.effective";"District.or.division";"Force.type";"Force.level";"Month.occurred";"Officer.primary.key";"Officer.sex";"Officer.race";"Officer.age.at.time.of.UOF";"Officer.years.exp.at.time.of.UOF";"Officer.injured";"Citizen.race";"Citizen.sex";"Citizen.age";"Citizen.injured";"Disposition"
"1";"FTN2019-0054";2019;"Arresting";"Resisting Lawful Arrest";"Yes";"3rd District";"Takedown (w/injury)";"L2";2;"68b05229828fa6d7dcfa911368299c6e";"M";"Hispanic";"54";"12";"No";"Black / African American";"M";"54";"Yes";"UOF Justified"
"2";"FTN2019-0054";2019;"Arresting";"Resisting Lawful Arrest";"Yes";"3rd District";"Takedown (w/injury)";"L2";2;"b8b5a096e8a65b25878eee255061fdf3";"M";"White";"26";"3";"No";"Black / African American";"M";"54";"Yes";"UOF Justified"
"3";"FTN2019-0046";2019;"Call for Service";"refuse verbal commands";"Yes";"3rd District";"Takedown (no injury)";"L1";2;"d748aa90c0db2e82c2a628d253bd3163";"M";"White";"35";"3";"No";"Black / African American";"M";"29";"No";"UOF Justified"
"4";"FTN2019-0046";2019;"Call for Service";"refuse verbal commands";"Yes";"3rd District";"Takedown (no injury)";"L1";2;"7048106d63e3663f7bfaf923491532a6";"M";"Hispanic";"42";"3";"No";"Black / African American";"M";"29";"No";"UOF Justified"
"5";"FTN2019-0047";2019;"Call for Service";"Battery on Police Officer";"No";"Other";"Baton/PR-24 (Strike)";"L3";2;"53d432e634be55f2bdb507cec34513e4";"M";"White";"59";"29";"Yes";"Black / African American";"M";"63";"No";"NULL"
"6";"FTN2019-0047";2019;"Call for Service";"Battery on Police Officer";"Yes";"Other";"L2-Taser";"L2";2;"53d432e634be55f2bdb507cec34513e4";"M";"White";"59";"29";"Yes";"Black / African American";"M";"63";"No";"NULL"
"7";"FTN2019-0043";2019;"Arresting";"Weapon Exhibited";"Yes";"5th District";"Firearm Exhibited";"L1";2;"a495447bc1e64ea75a8486623a2f5471";"M";"White";"28";"2";"No";"Black / African American";"M";"59";"No";"NULL"
"8";"FTN2019-0044";2019;"Arresting";"Tactical Deployments";"Yes";"4th District";"Firearm Exhibited";"L1";2;"0b3652d3ed7e40309f17bacca0703f63";"M";"Black / African American";"58";"28";"No";"Black / African American";"M";"25";"No";"UOF Justified"
"9";"FTN2019-0040";2019;"Arresting";"Flight from an Officer";"Yes";"3rd District";"Firearm Exhibited";"L1";2;"4df0dcfef17322c290dad0a252d19b0a";"M";"White";"32";"5";"No";"Black / African American";"M";"16";"No";"NULL"
"10";"FTN2019-0040";2019;"Arresting";"Flight from an Officer";"Yes";"3rd District";"Firearm Exhibited";"L1";2;"4df0dcfef17322c290dad0a252d19b0a";"M";"White";"32";"5";"No";"Black / African American";"M";"16";"No";"NULL"
"11";"FTN2019-0040";2019;"Arresting";"Flight from an Officer";"Yes";"3rd District";"Firearm Exhibited";"L1";2;"841b15eee649481522a483d062ab340c";"M";"White";"42";"10";"No";"Black / African American";"M";"16";"No";"NULL"
"12";"FTN2019-0040";2019;"Arresting";"Flight from an Officer";"Yes";"3rd District";"Firearm Exhibited";"L1";2;"841b15eee649481522a483d062ab340c";"M";"White";"42";"10";"No";"Black / African American";"M";"16";"No";"NULL"
"13";"FTN2019-0040";2019;"Arresting";"Flight from an Officer";"Yes";"3rd District";"Firearm Exhibited";"L1";2;"ee93424f9b59254607f1e1d816e7b02d";"M";"White";"49";"10";"No";"Black / African American";"M";"16";"No";"NULL"
"14";"FTN2019-0040";2019;"Arresting";"Flight from an Officer";"Yes";"3rd District";"Firearm Exhibited";"L1";2;"ee93424f9b59254607f1e1d816e7b02d";"M";"White";"49";"10";"No";"Black / African American";"M";"16";"No";"NULL"
